"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order","practice_rating","sentence_num","rating"
"5208","You see how a duck is playing with a pumpkin <br> T&uacute ves como un pato est&aacute jugando con una calabaza","{""Q0"":4}","practice","5019","survey-likert","10","146482","0.0-3.0-0.5","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","4","",""
"3352","<p style=""font-size:20px;"">You have now completed the practice session! </p>
        <p style=""font-size:20px;"">You will now move on to the main experiment. </p>
        <p style=""font-size:20px;"">Please click the button below to continue. </p>","0","movetoexp","5019","html-button-response","11","149839","0.0-4.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","",""
"4708","You drop a bowling ball on an iPAD <br> T&uacute tiras una bola de boliche a un iPad","{""Q0"":3}","trial","5019","survey-likert","12","154549","0.0-5.0-0.0","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","12","3"
"6177","You drop a thermometer on the box <br> T&uacute tiras un term&oacutemetro a la caja","{""Q0"":2}","trial","5019","survey-likert","13","160732","0.0-5.0-0.1","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","70","2"
"3761","You see how a man is shaving his beard <br> T&uacute ves como un hombre se est&aacute afeitando la barba","{""Q0"":4}","trial","5019","survey-likert","14","164498","0.0-5.0-0.2","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","43","4"
"3615","You see how a cat is drinking water from a bowl <br> T&uacute ves como un gato est&aacute bebiendo agua de un cuenco","{""Q0"":4}","trial","5019","survey-likert","15","168118","0.0-5.0-0.3","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","28","4"
"4445","You see how a giraffe is playing with a zebra <br> T&uacute ves como una jirafa est&aacute jugando con una cebra","{""Q0"":4}","trial","5019","survey-likert","16","172569","0.0-5.0-0.4","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","65","4"
"4028","You drop a bowling ball on a ceramic plate <br> T&uacute tiras una bola de boliche a un plato de cer&aacutemica","{""Q0"":4}","trial","5019","survey-likert","17","176601","0.0-5.0-0.5","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","19","4"
"6032","You drop a bowling ball on a paper cup <br> T&uacute tiras una bola de boliche a un vaso de papel","{""Q0"":4}","trial","5019","survey-likert","18","182639","0.0-5.0-0.6","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","24","4"
"4106","You drop a fork on the plate <br> T&uacute tiras un tenedor al plato","{""Q0"":4}","trial","5019","survey-likert","19","186750","0.0-5.0-0.7","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","26","4"
"3810","You drop a bowling ball on a cracker <br> T&uacute tiras una bola de boliche a una galleta","{""Q0"":4}","trial","5019","survey-likert","20","190563","0.0-5.0-0.8","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","4","4"
"3105","You see how a boy is peeling a banana <br> T&uacute ves como un ni&ntildeo est&aacute pelando una banana","{""Q0"":4}","trial","5019","survey-likert","21","193673","0.0-5.0-0.9","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","30","4"
"5561","You see how a panda is resting on a tree <br> T&uacute ves como un panda est&aacute descansando en un &aacuterbol","{""Q0"":4}","trial","5019","survey-likert","22","199239","0.0-5.0-0.10","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","57","4"
"4068","You drop a bowling ball on a blackberry <br> T&uacute tiras una bola de boliche a una mora","{""Q0"":4}","trial","5019","survey-likert","23","203313","0.0-5.0-0.11","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","8","4"
"5312","You drop a ring on the newspaper <br> T&uacute tiras un anillo al peri&oacutedico","{""Q0"":4}","trial","5019","survey-likert","24","208631","0.0-5.0-0.12","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","41","4"
"23271","You drop a bowling ball on a tomato <br> T&uacute tiras una bola de boliche a un tomate","{""Q0"":1}","trial","5019","survey-likert","25","231906","0.0-5.0-0.13","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","23","1"
"6998","You drop a bowling ball on a tomato <br> T&uacute tiras una bola de boliche a un tomate","{""Q0"":""Tú tiras una bola sobre un tomate.""}","low_rate","5019","survey-text","26","238913","0.0-5.0-1.13-0.13","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","","","23",""
"6423","You drop a bowling ball on a hat <br> T&uacute tiras una bola de boliche a una gorra","{""Q0"":1}","trial","5019","survey-likert","27","245338","0.0-5.0-0.14","26","1","2022-11-29 21:24:53","2df368f4e41f066fd1c82c297b4a1108","77.229.212.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","WebKit","Chrome","107.0.0.0","Windows","10.0","[0]","","10","1"
